uuid,qr,user-agent,x-forwarded-for,cookie,createdAt,updatedAt
d90c4f70-abac-11ec-b038-95edd76e5360,5vtLaVFh1dDGvBvg,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Safari/537.36",40.94.33.97,,3/24/2022 15:59,3/24/2022 15:59
d8b24890-abac-11ec-b038-95edd76e5360,5vtLaVFh1dDGvBvg,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",40.94.26.135,,3/24/2022 15:58,3/24/2022 15:58
d3987810-ab9e-11ec-b038-95edd76e5360,CRgEmDKgXGDNYEw4,"Mozilla/5.0 (Linux; Android 12; Pixel 5a) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.73 Mobile Safari/537.36",128.84.125.0,xXntCZMHqCS_2yroLQNqSsOlb5ipa_UO,3/24/2022 14:18,3/24/2022 14:18
6ce71b10-aa0b-11ec-a56b-290fda2265bd,CRgEmDKgXGDNYEw4,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.126.3,iAo7y-u-Bwoxuiyayf9G70eGJlAvt5Ps,3/22/2022 14:10,3/22/2022 14:11
c2bbcb70-a9fd-11ec-a56b-290fda2265bd,CRgEmDKgXGDNYEw4,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.124.84,,3/22/2022 12:33,3/22/2022 12:33
ca8cfc20-a9fd-11ec-a56b-290fda2265bd,CRgEmDKgXGDNYEw4,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.124.84,fFKfIT7VAWeDb_B6hge5JLDV6SsZEZAc,3/22/2022 12:33,3/22/2022 12:33
c4a550c0-a730-11ec-9925-27dd9828bc99,6YaMVoix5Sn23V5w,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",24.97.110.217,,3/18/2022 23:00,3/18/2022 23:00
15e329d0-a6f5-11ec-9925-27dd9828bc99,CRgEmDKgXGDNYEw4,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",166.205.147.41,fvT9YCBktJv2WAzdhbYhtE8YRnCtPve6,3/18/2022 15:53,3/18/2022 15:53
a91d6d90-a6f1-11ec-9925-27dd9828bc99,6YaMVoix5Sn23V5w,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.125.154,qry_fpwnNa5vgXFSllt7chCXSHZQTLrc,3/18/2022 15:28,3/18/2022 15:29
476950f0-a633-11ec-ae25-6fa587b48294,6YaMVoix5Sn23V5w,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1",104.28.55.245,uGyfr24NGXPo5uvKyM8bD4q9k00JQ1xl,3/17/2022 16:46,3/17/2022 16:46
0f9ac7d0-a3db-11ec-9ae2-8772940228cd,m0oF17fPBYdWTrTg,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.124.29,pVvJp8BlgH9mwP_z7SqOAxpVZ5DejUQH,3/14/2022 17:09,3/14/2022 17:09
b108f570-a08d-11ec-a834-e96f66058bd6,rJln8GpiPyf4xZTx,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.127.215,cvD4N0Y5rZ34RYWeutWOjGuaA6e2D1XI,3/10/2022 11:18,3/10/2022 11:18
cc1a2b50-9f06-11ec-a6fc-3f70d7bb0a98,m0oF17fPBYdWTrTg,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",128.84.125.66,PPNFnmsxrvEoE-BehtZ1GFyUNin3sMln,3/8/2022 12:40,3/8/2022 12:40
f7e809e0-9ef8-11ec-a6fc-3f70d7bb0a98,m0oF17fPBYdWTrTg,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/98.0.4758.97 Mobile/15E148 Safari/604.1",128.84.125.69,F2aK3_g83tJyuiOUFnj2mvMbRcf_gY_Q,3/8/2022 11:01,3/8/2022 11:01
51f4cab0-9b32-11ec-92b9-11ba3104d73e,5gzoezWXOyyd3tNk,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",128.84.127.188,0kLWCQ0LN6SwDX9KWr2IfQqxPF8_wyhc,3/3/2022 15:41,3/3/2022 15:41
3760c860-9a7a-11ec-93b0-6b2d05d45b44,m0oF17fPBYdWTrTg,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.3 Mobile/15E148 Safari/604.1",104.28.56.3,uz1UuTlYcS2VJqltK7YRyL9F8Lwi5Br6,3/2/2022 17:43,3/2/2022 17:43
